Running 20m test @ http://10.106.10.114:8080/wrk2-api/user-timeline/read
  16 threads and 32 connections
  Thread calibration: mean lat.: 35.751ms, rate sampling interval: 119ms
  Thread calibration: mean lat.: 37.627ms, rate sampling interval: 131ms
  Thread calibration: mean lat.: 42.072ms, rate sampling interval: 138ms
  Thread calibration: mean lat.: 34.776ms, rate sampling interval: 123ms
  Thread calibration: mean lat.: 29.406ms, rate sampling interval: 90ms
  Thread calibration: mean lat.: 42.344ms, rate sampling interval: 157ms
  Thread calibration: mean lat.: 35.809ms, rate sampling interval: 128ms
  Thread calibration: mean lat.: 36.468ms, rate sampling interval: 133ms
  Thread calibration: mean lat.: 42.728ms, rate sampling interval: 152ms
  Thread calibration: mean lat.: 44.853ms, rate sampling interval: 162ms
  Thread calibration: mean lat.: 35.605ms, rate sampling interval: 122ms
  Thread calibration: mean lat.: 48.852ms, rate sampling interval: 195ms
  Thread calibration: mean lat.: 32.755ms, rate sampling interval: 112ms
  Thread calibration: mean lat.: 32.996ms, rate sampling interval: 111ms
  Thread calibration: mean lat.: 38.943ms, rate sampling interval: 140ms
  Thread calibration: mean lat.: 30.756ms, rate sampling interval: 100ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    50.41ms   92.44ms 472.58ms   95.53%
    Req/Sec    17.75     11.51    50.00     75.99%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   29.38ms
 75.000%   45.95ms
 90.000%   80.06ms
 99.000%  472.58ms
 99.900%    1.23s 
 99.990%    1.81s 
 99.999%    2.07s 
100.000%    2.23s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       5.215     0.000000            1         1.00
      16.959     0.100000        34400         1.11
      20.063     0.200000        68859         1.25
      22.783     0.300000       103162         1.43
      25.775     0.400000       137669         1.67
      29.375     0.500000       171954         2.00
      31.583     0.550000       189165         2.22
      34.175     0.600000       206373         2.50
      37.279     0.650000       223584         2.86
      41.119     0.700000       240813         3.33
      45.951     0.750000       257970         4.00
      48.927     0.775000       266527         4.44
      52.447     0.800000       275107         5.00
      56.799     0.825000       283756         5.71
      62.271     0.850000       292297         6.67
      69.631     0.875000       300925         8.00
      74.303     0.887500       305223         8.89
      80.063     0.900000       309524        10.00
      87.231     0.912500       313795        11.43
      96.639     0.925000       318096        13.33
     110.015     0.937500       322386        16.00
     119.039     0.943750       324538        17.78
     130.175     0.950000       326687        20.00
     145.407     0.956250       328832        22.86
     164.991     0.962500       330983        26.67
     191.999     0.968750       333137        32.00
     210.047     0.971875       334207        35.56
     231.423     0.975000       335280        40.00
     258.047     0.978125       336352        45.71
     293.375     0.981250       337427        53.33
     339.967     0.984375       338503        64.00
     371.199     0.985938       339038        71.11
     404.735     0.987500       339579        80.00
     444.415     0.989062       340116        91.43
     491.007     0.990625       340652       106.67
     545.279     0.992188       341188       128.00
     578.047     0.992969       341463       142.22
     612.863     0.993750       341726       160.00
     652.799     0.994531       341993       182.86
     702.463     0.995313       342262       213.33
     761.343     0.996094       342532       256.00
     794.111     0.996484       342665       284.44
     830.463     0.996875       342800       320.00
     876.543     0.997266       342935       365.71
     936.959     0.997656       343069       426.67
     999.935     0.998047       343202       512.00
    1038.847     0.998242       343270       568.89
    1082.367     0.998437       343336       640.00
    1130.495     0.998633       343403       731.43
    1184.767     0.998828       343473       853.33
    1238.015     0.999023       343538      1024.00
    1272.831     0.999121       343571      1137.78
    1307.647     0.999219       343605      1280.00
    1340.415     0.999316       343638      1462.86
    1392.639     0.999414       343672      1706.67
    1457.151     0.999512       343706      2048.00
    1478.655     0.999561       343722      2275.56
    1503.231     0.999609       343740      2560.00
    1554.431     0.999658       343756      2925.71
    1597.439     0.999707       343773      3413.33
    1662.975     0.999756       343790      4096.00
    1672.191     0.999780       343798      4551.11
    1696.767     0.999805       343806      5120.00
    1730.559     0.999829       343815      5851.43
    1758.207     0.999854       343823      6826.67
    1783.807     0.999878       343832      8192.00
    1790.975     0.999890       343836      9102.22
    1812.479     0.999902       343840     10240.00
    1833.983     0.999915       343844     11702.86
    1874.943     0.999927       343848     13653.33
    1903.615     0.999939       343853     16384.00
    1913.855     0.999945       343856     18204.44
    1916.927     0.999951       343857     20480.00
    1924.095     0.999957       343859     23405.71
    1931.263     0.999963       343861     27306.67
    1958.911     0.999969       343863     32768.00
    1980.415     0.999973       343864     36408.89
    1986.559     0.999976       343865     40960.00
    1987.583     0.999979       343866     46811.43
    2003.967     0.999982       343868     54613.33
    2003.967     0.999985       343868     65536.00
    2033.663     0.999986       343869     72817.78
    2033.663     0.999988       343869     81920.00
    2073.599     0.999989       343870     93622.86
    2073.599     0.999991       343870    109226.67
    2076.671     0.999992       343871    131072.00
    2076.671     0.999993       343871    145635.56
    2076.671     0.999994       343871    163840.00
    2103.295     0.999995       343872    187245.71
    2103.295     0.999995       343872    218453.33
    2103.295     0.999996       343872    262144.00
    2103.295     0.999997       343872    291271.11
    2103.295     0.999997       343872    327680.00
    2232.319     0.999997       343873    374491.43
    2232.319     1.000000       343873          inf
#[Mean    =       50.405, StdDeviation   =       92.441]
#[Max     =     2230.272, Total count    =       343873]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  346758 requests in 20.00m, 4.30GB read
Requests/sec:    288.96
Transfer/sec:      3.67MB
