Running 20m test @ http://10.97.133.98:8080/wrk2-api/home-timeline/read
  16 threads and 32 connections
  Thread calibration: mean lat.: 20.289ms, rate sampling interval: 73ms
  Thread calibration: mean lat.: 26.823ms, rate sampling interval: 104ms
  Thread calibration: mean lat.: 27.736ms, rate sampling interval: 95ms
  Thread calibration: mean lat.: 22.402ms, rate sampling interval: 80ms
  Thread calibration: mean lat.: 29.551ms, rate sampling interval: 110ms
  Thread calibration: mean lat.: 25.231ms, rate sampling interval: 100ms
  Thread calibration: mean lat.: 21.234ms, rate sampling interval: 70ms
  Thread calibration: mean lat.: 28.880ms, rate sampling interval: 112ms
  Thread calibration: mean lat.: 22.524ms, rate sampling interval: 83ms
  Thread calibration: mean lat.: 22.061ms, rate sampling interval: 82ms
  Thread calibration: mean lat.: 27.364ms, rate sampling interval: 102ms
  Thread calibration: mean lat.: 31.202ms, rate sampling interval: 123ms
  Thread calibration: mean lat.: 26.637ms, rate sampling interval: 94ms
  Thread calibration: mean lat.: 27.131ms, rate sampling interval: 87ms
  Thread calibration: mean lat.: 22.743ms, rate sampling interval: 77ms
  Thread calibration: mean lat.: 25.949ms, rate sampling interval: 94ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    36.83ms   85.83ms 322.30ms   96.52%
    Req/Sec    36.79     19.34    86.00     70.83%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   19.81ms
 75.000%   33.50ms
 90.000%   60.19ms
 99.000%  322.30ms
 99.900%    1.30s 
 99.990%    1.97s 
 99.999%    2.28s 
100.000%    2.34s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.271     0.000000            1         1.00
      10.471     0.100000        70600         1.11
      12.335     0.200000       141144         1.25
      14.367     0.300000       211725         1.43
      16.799     0.400000       282234         1.67
      19.807     0.500000       352577         2.00
      21.663     0.550000       388010         2.22
      23.791     0.600000       423261         2.50
      26.335     0.650000       458378         2.86
      29.487     0.700000       493652         3.33
      33.503     0.750000       529041         4.00
      35.967     0.775000       546566         4.44
      38.847     0.800000       564096         5.00
      42.335     0.825000       581769         5.71
      46.719     0.850000       599425         6.67
      52.447     0.875000       617029         8.00
      55.999     0.887500       625845         8.89
      60.191     0.900000       634591        10.00
      65.503     0.912500       643421        11.43
      72.255     0.925000       652259        13.33
      81.471     0.937500       661083        16.00
      87.295     0.943750       665469        17.78
      94.719     0.950000       669876        20.00
     103.871     0.956250       674254        22.86
     116.287     0.962500       678659        26.67
     132.991     0.968750       683081        32.00
     143.743     0.971875       685280        35.56
     157.055     0.975000       687481        40.00
     174.079     0.978125       689682        45.71
     195.711     0.981250       691888        53.33
     224.895     0.984375       694084        64.00
     242.815     0.985938       695187        71.11
     266.751     0.987500       696288        80.00
     299.007     0.989062       697391        91.43
     340.479     0.990625       698493       106.67
     400.895     0.992188       699590       128.00
     438.015     0.992969       700142       142.22
     485.119     0.993750       700698       160.00
     540.159     0.994531       701245       182.86
     608.255     0.995313       701795       213.33
     695.807     0.996094       702343       256.00
     744.959     0.996484       702618       284.44
     799.231     0.996875       702893       320.00
     857.599     0.997266       703171       365.71
     927.231     0.997656       703444       426.67
    1008.639     0.998047       703719       512.00
    1059.839     0.998242       703857       568.89
    1112.063     0.998437       703999       640.00
    1163.263     0.998633       704133       731.43
    1215.487     0.998828       704270       853.33
    1324.031     0.999023       704410      1024.00
    1373.183     0.999121       704477      1137.78
    1431.551     0.999219       704546      1280.00
    1512.447     0.999316       704616      1462.86
    1568.767     0.999414       704685      1706.67
    1627.135     0.999512       704752      2048.00
    1676.287     0.999561       704787      2275.56
    1717.247     0.999609       704821      2560.00
    1757.183     0.999658       704857      2925.71
    1791.999     0.999707       704890      3413.33
    1830.911     0.999756       704924      4096.00
    1852.415     0.999780       704942      4551.11
    1870.847     0.999805       704959      5120.00
    1900.543     0.999829       704977      5851.43
    1914.879     0.999854       704993      6826.67
    1938.431     0.999878       705010      8192.00
    1953.791     0.999890       705019      9102.22
    1969.151     0.999902       705028     10240.00
    2000.895     0.999915       705036     11702.86
    2019.327     0.999927       705046     13653.33
    2032.639     0.999939       705053     16384.00
    2041.855     0.999945       705058     18204.44
    2052.095     0.999951       705062     20480.00
    2072.575     0.999957       705066     23405.71
    2103.295     0.999963       705071     27306.67
    2146.303     0.999969       705075     32768.00
    2158.591     0.999973       705078     36408.89
    2162.687     0.999976       705079     40960.00
    2174.975     0.999979       705081     46811.43
    2222.079     0.999982       705085     54613.33
    2252.799     0.999985       705086     65536.00
    2271.231     0.999986       705087     72817.78
    2277.375     0.999988       705088     81920.00
    2281.471     0.999989       705089     93622.86
    2291.711     0.999991       705090    109226.67
    2297.855     0.999992       705091    131072.00
    2312.191     0.999993       705093    145635.56
    2312.191     0.999994       705093    163840.00
    2312.191     0.999995       705093    187245.71
    2312.191     0.999995       705093    218453.33
    2318.335     0.999996       705094    262144.00
    2318.335     0.999997       705094    291271.11
    2318.335     0.999997       705094    327680.00
    2338.815     0.999997       705095    374491.43
    2338.815     0.999998       705095    436906.67
    2338.815     0.999998       705095    524288.00
    2338.815     0.999998       705095    582542.22
    2338.815     0.999998       705095    655360.00
    2340.863     0.999999       705096    748982.86
    2340.863     1.000000       705096          inf
#[Mean    =       36.831, StdDeviation   =       85.833]
#[Max     =     2338.816, Total count    =       705096]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  711011 requests in 20.00m, 8.50GB read
Requests/sec:    592.47
Transfer/sec:      7.26MB
