Running 20m test @ http://10.96.107.71:8080/wrk2-api/user-timeline/read
  16 threads and 32 connections
  Thread calibration: mean lat.: 39.176ms, rate sampling interval: 155ms
  Thread calibration: mean lat.: 48.830ms, rate sampling interval: 182ms
  Thread calibration: mean lat.: 41.846ms, rate sampling interval: 134ms
  Thread calibration: mean lat.: 39.216ms, rate sampling interval: 151ms
  Thread calibration: mean lat.: 43.104ms, rate sampling interval: 150ms
  Thread calibration: mean lat.: 45.221ms, rate sampling interval: 164ms
  Thread calibration: mean lat.: 37.716ms, rate sampling interval: 128ms
  Thread calibration: mean lat.: 42.220ms, rate sampling interval: 152ms
  Thread calibration: mean lat.: 40.921ms, rate sampling interval: 134ms
  Thread calibration: mean lat.: 47.467ms, rate sampling interval: 160ms
  Thread calibration: mean lat.: 43.135ms, rate sampling interval: 159ms
  Thread calibration: mean lat.: 47.009ms, rate sampling interval: 172ms
  Thread calibration: mean lat.: 36.804ms, rate sampling interval: 126ms
  Thread calibration: mean lat.: 38.590ms, rate sampling interval: 134ms
  Thread calibration: mean lat.: 45.629ms, rate sampling interval: 158ms
  Thread calibration: mean lat.: 42.265ms, rate sampling interval: 154ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    42.94ms   53.91ms 238.08ms   93.95%
    Req/Sec    17.65     10.62    46.00     68.78%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   29.79ms
 75.000%   46.11ms
 90.000%   75.14ms
 99.000%  238.08ms
 99.900%  643.07ms
 99.990%    1.67s 
 99.999%    2.32s 
100.000%    2.37s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       5.427     0.000000            1         1.00
      17.151     0.100000        34494         1.11
      20.271     0.200000        68833         1.25
      23.055     0.300000       103303         1.43
      26.111     0.400000       137738         1.67
      29.791     0.500000       171999         2.00
      32.015     0.550000       189199         2.22
      34.591     0.600000       206344         2.50
      37.663     0.650000       223632         2.86
      41.439     0.700000       240812         3.33
      46.111     0.750000       257954         4.00
      48.959     0.775000       266581         4.44
      52.255     0.800000       275111         5.00
      56.159     0.825000       283754         5.71
      60.895     0.850000       292298         6.67
      66.943     0.875000       300902         8.00
      70.655     0.887500       305206         8.89
      75.135     0.900000       309532        10.00
      80.255     0.912500       313814        11.43
      86.655     0.925000       318097        13.33
      95.231     0.937500       322414        16.00
     100.415     0.943750       324552        17.78
     106.495     0.950000       326690        20.00
     113.791     0.956250       328843        22.86
     123.007     0.962500       330996        26.67
     134.655     0.968750       333134        32.00
     141.951     0.971875       334206        35.56
     150.527     0.975000       335298        40.00
     161.151     0.978125       336363        45.71
     174.591     0.981250       337431        53.33
     191.743     0.984375       338507        64.00
     202.239     0.985938       339043        71.11
     213.759     0.987500       339579        80.00
     228.479     0.989062       340116        91.43
     246.143     0.990625       340654       106.67
     267.775     0.992188       341193       128.00
     282.367     0.992969       341463       142.22
     299.007     0.993750       341736       160.00
     315.391     0.994531       341997       182.86
     334.591     0.995313       342266       213.33
     363.263     0.996094       342536       256.00
     380.415     0.996484       342673       284.44
     399.615     0.996875       342806       320.00
     425.471     0.997266       342937       365.71
     451.839     0.997656       343072       426.67
     492.287     0.998047       343206       512.00
     512.767     0.998242       343277       568.89
     535.551     0.998437       343340       640.00
     563.711     0.998633       343408       731.43
     595.455     0.998828       343476       853.33
     648.191     0.999023       343544      1024.00
     683.519     0.999121       343575      1137.78
     721.919     0.999219       343609      1280.00
     762.879     0.999316       343642      1462.86
     823.295     0.999414       343676      1706.67
     882.175     0.999512       343710      2048.00
     908.287     0.999561       343726      2275.56
     943.615     0.999609       343743      2560.00
     983.551     0.999658       343760      2925.71
    1052.671     0.999707       343777      3413.33
    1102.847     0.999756       343794      4096.00
    1143.807     0.999780       343802      4551.11
    1223.679     0.999805       343810      5120.00
    1312.767     0.999829       343819      5851.43
    1449.983     0.999854       343827      6826.67
    1580.031     0.999878       343836      8192.00
    1596.415     0.999890       343840      9102.22
    1681.407     0.999902       343844     10240.00
    1770.495     0.999915       343848     11702.86
    1809.407     0.999927       343852     13653.33
    1947.647     0.999939       343857     16384.00
    2055.167     0.999945       343859     18204.44
    2072.575     0.999951       343861     20480.00
    2150.399     0.999957       343863     23405.71
    2158.591     0.999963       343865     27306.67
    2179.071     0.999969       343867     32768.00
    2205.695     0.999973       343868     36408.89
    2232.319     0.999976       343869     40960.00
    2246.655     0.999979       343870     46811.43
    2267.135     0.999982       343871     54613.33
    2281.471     0.999985       343872     65536.00
    2316.287     0.999986       343873     72817.78
    2316.287     0.999988       343873     81920.00
    2318.335     0.999989       343874     93622.86
    2318.335     0.999991       343874    109226.67
    2326.527     0.999992       343875    131072.00
    2326.527     0.999993       343875    145635.56
    2326.527     0.999994       343875    163840.00
    2344.959     0.999995       343876    187245.71
    2344.959     0.999995       343876    218453.33
    2344.959     0.999996       343876    262144.00
    2344.959     0.999997       343876    291271.11
    2344.959     0.999997       343876    327680.00
    2369.535     0.999997       343877    374491.43
    2369.535     1.000000       343877          inf
#[Mean    =       42.937, StdDeviation   =       53.914]
#[Max     =     2367.488, Total count    =       343877]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  346760 requests in 20.00m, 4.30GB read
Requests/sec:    288.95
Transfer/sec:      3.67MB
